Date,Market Share,Competitor TDP,AB TDP,Sales,Marketing,S&P_Package,Sales and Marketing Pakage,NR,SnM/NR,SalesM/HL_lag1,SalesM/HL_lag2,SalesM/HL_lag3,SalesM/HL_lag4,SalesM/HL_lag5,SalesM/HL_lag6,SalesM/HL_lag12,SnM_lag1,SnM_lag2,SnM_lag3,SnM_lag4,SnM_lag5,SnP_lag6,SnP_lag12,Total Vol AB STR,SnM/HL
01/06/2021,45,19065,6707,-31878,-93625,-125503,125.503,1315598.333,95.39613793,102.024827,105.9176945,98.71834778,112.1518052,105.4188761,103.0168147,125.8585613,120.874,121.293,110.554,99.44,91.69,113.285,166.047,9342,13
01/07/2021,44,20008,6975,-30524,-95458,-125982,125.982,1212967.641,103.8626223,95.39613793,102.024827,105.9176945,98.71834778,112.1518052,105.4188761,101.9109499,125.503,120.874,121.293,110.554,99.44,91.69,131.778,8636,15
01/08/2021,44,20149,7018,-28491,-91069,-119560,119.56,1180212.44,101.3037958,103.8626223,95.39613793,102.024827,105.9176945,98.71834778,112.1518052,99.26269144,125.982,125.503,120.874,121.293,110.554,99.44,114.753,8459,14
01/09/2021,45,19152,6684,-29165,-84435,-113600,113.6,1142427.19,99.43740921,101.3037958,103.8626223,95.39613793,102.024827,105.9176945,98.71834778,94.47276354,119.56,125.982,125.503,120.874,121.293,110.554,110.481,8183,14
01/10/2021,45,19673,6796,-25456,-77956,-103412,103.412,1054421.143,98.07466468,99.43740921,101.3037958,103.8626223,95.39613793,102.024827,105.9176945,99.19387718,113.6,119.56,125.982,125.503,120.874,121.293,108.859,7553,14
01/11/2021,45,18872,6489,-24520,-81358,-105878,105.878,1067871.729,99.14861225,98.07466468,99.43740921,101.3037958,103.8626223,95.39613793,102.024827,105.1605742,103.412,113.6,119.56,125.982,125.503,120.874,107.104,7576,14
01/12/2021,46,19631,6565,-30206,-113312,-143518,143.518,1125275.634,127.5403072,99.14861225,98.07466468,99.43740921,101.3037958,103.8626223,95.39613793,103.0168147,105.878,103.412,113.6,119.56,125.982,125.503,113.285,8084,18
01/01/2022,46,19998,6542,-20238,-65229,-85467,85.467,822065.3153,103.9661915,127.5403072,99.14861225,98.07466468,99.43740921,101.3037958,103.8626223,105.4188761,143.518,105.878,103.412,113.6,119.56,125.982,91.69,5779,15
01/02/2022,45,18332,5881,-18857,-60846,-79703,79.703,924283.8777,86.23216517,103.9661915,127.5403072,99.14861225,98.07466468,99.43740921,101.3037958,112.1518052,85.467,143.518,105.878,103.412,113.6,119.56,99.44,6350,13
01/03/2022,45,19245,6309,-25937,-53837,-79774,79.774,1131195.319,70.52186186,86.23216517,103.9661915,127.5403072,99.14861225,98.07466468,99.43740921,98.71834778,79.703,85.467,143.518,105.878,103.412,113.6,110.554,7770,10
01/04/2022,44,18877,6249,-24878,-88575,-113453,113.453,1084472.069,104.6158802,70.52186186,86.23216517,103.9661915,127.5403072,99.14861225,98.07466468,105.9176945,79.774,79.703,85.467,143.518,105.878,103.412,121.293,7398,15
01/05/2022,44,19558,6495,-28087,-82644,-110731,110.731,1235771.601,89.60474569,104.6158802,70.52186186,86.23216517,103.9661915,127.5403072,99.14861225,102.024827,113.453,79.774,79.703,85.467,143.518,105.878,120.874,8479,13
01/06/2022,44,19329,6353,-34819,-107969,-142788,142.788,1321785.216,108.0266281,89.60474569,104.6158802,70.52186186,86.23216517,103.9661915,127.5403072,95.39613793,110.731,113.453,79.774,79.703,85.467,143.518,125.503,9036,16
01/07/2022,43,20315,6639,-26956,-75602,-102558,102.558,1127613.285,90.95139389,108.0266281,89.60474569,104.6158802,70.52186186,86.23216517,103.9661915,103.8626223,142.788,110.731,113.453,79.774,79.703,85.467,125.982,7692,13
01/08/2022,43,20613,6691,-30185,-77145,-107330,107.33,1258766.313,85.26602505,90.95139389,108.0266281,89.60474569,104.6158802,70.52186186,86.23216517,101.3037958,102.558,142.788,110.731,113.453,79.774,79.703,119.56,8627,12
01/09/2022,45,19628,6382,-26445,-74564,-101009,101.009,1209175.716,83.53541896,85.26602505,90.95139389,108.0266281,89.60474569,104.6158802,70.52186186,99.43740921,107.33,102.558,142.788,110.731,113.453,79.774,113.6,8311,12
01/10/2022,43,20116,6527,-23116,-98751,-121867,121.867,1016859.127,119.8464927,83.53541896,85.26602505,90.95139389,108.0266281,89.60474569,104.6158802,98.07466468,101.009,107.33,102.558,142.788,110.731,113.453,103.412,6538,19
01/11/2022,44,19288,6240,-24249,-71817,-96066,96.066,1134019.251,84.71284762,119.8464927,83.53541896,85.26602505,90.95139389,108.0266281,89.60474569,99.14861225,121.867,101.009,107.33,102.558,142.788,110.731,105.878,7238,13
01/12/2022,44,19865,6365,-24688,-70643,-95331,95.331,1099928.148,86.67020677,84.71284762,119.8464927,83.53541896,85.26602505,90.95139389,108.0266281,127.5403072,96.066,121.867,101.009,107.33,102.558,142.788,143.518,7125,13
01/01/2023,45,20456,6210,-19672,-72309,-91981,76.4844183,1160694,104.6925338,86.67020677,84.71284762,119.8464927,83.53541896,85.26602505,90.95139389,103.9661915,95.331,96.066,121.867,101.009,107.33,102.558,85.467,6120,12
01/02/2023,46,18751,5583,-18965,-70603,-89568,71.3262147,1050765,99.19198521,104.6925338,86.67020677,84.71284762,119.8464927,83.53541896,85.26602505,86.23216517,76.4844183,95.331,96.066,121.867,101.009,107.33,79.703,6112,12
01/03/2023,43,19685,5989,-21910,-87410,-109320,71.3897526,1197868,84.62010482,99.19198521,104.6925338,86.67020677,84.71284762,119.8464927,83.53541896,70.52186186,71.3262147,76.4844183,95.331,96.066,121.867,101.009,79.774,7300.085975,9.77930299
01/04/2023,45,19309,5932,-26151,-91222,-117373,101.5290897,1138190.409,105.2667873,84.62010482,99.19198521,104.6925338,86.67020677,84.71284762,119.8464927,104.6158802,71.3897526,71.3262147,76.4844183,95.331,96.066,121.867,113.453,6944.652474,14.61975096
